"lessonTitle","lessonId","userId","factText","factAnswer","fileName","fileType","fileId","factId","presentationStartTime","presentationDuration","reactionTime","sessionTime","correct","givenResponse","backSpaceUsed","backSpacedFirstLetter","numberOfChoices","lookAheadTime","forgetThreshold","maxAlpha","minAlpha","keyCode","keyCharacter","keyTime","sessionId","aggregateResponse"
"English-Swahili B",1267,60168,"stump","gutu",,,,61042,1622469265160,3137,3137,3141,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469268301,2730,2730,5875,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"leech","ruba",,,,61034,1622469271033,3371,3371,9248,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"bull","fahali",,,,61032,1622469274417,714,714,9975,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469275132,689,689,10665,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"blame","lawama",,,,61045,1622469275824,913,913,11581,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469276751,658,658,12253,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"corn","nafaka",,,,61046,1622469277411,471,471,12726,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469277885,445,445,13174,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"forgery","ubini",,,,61036,1622469278333,398,398,13575,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"egg","yai",,,,61037,1622469278734,506,506,14084,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"story","hadithi",,,,61043,1622469279242,600,600,14686,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"economy","iktisadi",,,,61030,1622469279844,421,421,15109,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"dog","mbwa",,,,61027,1622469280268,515,515,15627,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"knee","goti",,,,61031,1622469280786,871,871,16501,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"pearl","lulu",,,,61028,1622469281661,550,550,17055,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"cloud","wingu",,,,61029,1622469282217,599,599,17660,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"tailor","mshoni",,,,61033,1622469282819,550,550,18213,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"beer","pombe",,,,61038,1622469283373,439,439,18656,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"doctor","tabibu",,,,61041,1622469283817,449,449,19110,TRUE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"doctor","tabibu",,,,61041,1622469284271,5592,4217,24707,FALSE,"ladwa",FALSE,FALSE,0,,,,,"76;65;68;87;65","L;A;D;W;A","1622469288488;1622469288634;1622469289141;1622469289575;1622469289766","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"doctor","tabibu",,,,61041,1622469299941,3387,1516,38172,FALSE,"ladhawa",FALSE,FALSE,0,,,,,"76;65;68;72;65;87;65","L;A;D;H;A;W;A","1622469301457;1622469301568;1622469301779;1622469302059;1622469302256;1622469302602;1622469302787","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"doctor","tabibu",,,,61041,1622469305989,3103,85,43936,TRUE,"tabibu",FALSE,FALSE,0,,,,,"13;84;65;66;73;66;85","
;T;A;B;I;B;U","1622469306074;1622469307231;1622469307430;1622469307668;1622469307925;1622469308171;1622469308428","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"forgery","ubini",,,,61036,1622469310101,2648,1881,47593,FALSE,"ladwa",FALSE,FALSE,0,,,,,"76;65;68;87;65","L;A;D;W;A","1622469311982;1622469312081;1622469312311;1622469312513;1622469312685","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469315323,4322,88,54489,FALSE,"ubini",TRUE,FALSE,0,,,,,"13;85;66;73;78;73;221;8","
;U;B;I;N;I;Ý;","1622469315411;1622469317385;1622469317595;1622469317849;1622469318016;1622469318602;1622469318928;1622469319506","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"bull","fahali",,,,61032,1622469321427,4816,127,61087,FALSE,"mha",FALSE,FALSE,0,,,,,"13;77;72;65","
;M;H;A","1622469321554;1622469325281;1622469325856;1622469326167","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"forgery","ubini",,,,61036,1622469329196,2751,94,66791,FALSE,"nsjd",FALSE,FALSE,0,,,,,"13;78;83;74;68","
;N;S;J;D","1622469329290;1622469330818;1622469330915;1622469331002;1622469331839","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469345915,7696,5841,88455,FALSE,"ta joela",FALSE,FALSE,0,,,,,"84;65;32;74;79;69;76;65","T;A; ;J;O;E;L;A","1622469351756;1622469352141;1622469352365;1622469352647;1622469352850;1622469352956;1622469353100;1622469353251","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"bull","fahali",,,,61032,1622469359538,4301,2959,98683,FALSE,"robini",FALSE,FALSE,0,,,,,"82;79;66;73;78;73","R;O;B;I;N;I","1622469362497;1622469362652;1622469363010;1622469363222;1622469363390;1622469363553","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"forgery","ubini",,,,61036,1622469382764,3881,1950,121489,FALSE,"fuhuli",TRUE,FALSE,0,,,,,"70;85;72;85;76;73;220;8","F;U;H;U;L;I;Ü;","1622469384714;1622469384863;1622469385025;1622469385210;1622469385453;1622469385607;1622469385870;1622469386496","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469388009,4696,2012,127549,FALSE,"fuhuli",FALSE,FALSE,0,,,,,"70;85;72;85;76;73","F;U;H;U;L;I","1622469390021;1622469390153;1622469390323;1622469391890;1622469392125;1622469392282","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"bull","fahali",,,,61032,1622469394252,3161,96,132257,FALSE,"fuhuli",FALSE,FALSE,0,,,,,"13;70;85;72;85;76;73","
;F;U;H;U;L;I","1622469394348;1622469396044;1622469396202;1622469396388;1622469396565;1622469396828;1622469396972","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"forgery","ubini",,,,61036,1622469401358,3262,105,139464,TRUE,"ubini",FALSE,FALSE,0,,,,,"13;85;66;73;78;73","
;U;B;I;N;I","1622469401463;1622469403229;1622469403502;1622469403714;1622469403867;1622469404026","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469405626,7774,6368,148244,FALSE,"fahali",FALSE,FALSE,0,,,,,"70;65;72;65;76;73","F;A;H;A;L;I","1622469411994;1622469412148;1622469412354;1622469412472;1622469412711;1622469412881","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"bull","fahali",,,,61032,1622469421145,5853,94,161842,TRUE,"fahali",FALSE,FALSE,0,,,,,"13;70;65;72;65;76;73","
;F;A;H;A;L;I","1622469421239;1622469422775;1622469422915;1622469423061;1622469423878;1622469424269;1622469424623","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469428003,7501,1951,170348,FALSE,"buhili",TRUE,FALSE,0,,,,,"66;72;8;85;72;73;76;73","B;H;;U;H;I;L;I","1622469429954;1622469431148;1622469431914;1622469432473;1622469432805;1622469433494;1622469434991;1622469435165","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"rope","kamba",,,,61044,1622469436853,2261,93,173958,TRUE,"kamba",FALSE,FALSE,0,,,,,"13;75;65;77;66;65","
;K;A;M;B;A","1622469436946;1622469438137;1622469438231;1622469438377;1622469438556;1622469438664","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469440120,3292,2015,178256,FALSE,"hubn",FALSE,FALSE,0,,,,,"72;85;66;78","H;U;B;N","1622469442135;1622469442506;1622469442780;1622469443062","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469444812,3807,2438,183463,FALSE,"nidri",FALSE,FALSE,0,,,,,"78;73;68;82;73","N;I;D;R;I","1622469447250;1622469447567;1622469448077;1622469448270;1622469448404","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469450872,3909,127,189625,FALSE,"lima",FALSE,FALSE,0,,,,,"13;76;73;77;65","
;L;I;M;A","1622469450999;1622469453489;1622469453797;1622469454066;1622469454649","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469465474,3811,3092,204129,FALSE,"fagra",FALSE,FALSE,0,,,,,"70;65;71;82;65","F;A;G;R;A","1622469468566;1622469468699;1622469468816;1622469468984;1622469469057","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469472816,5849,106,213509,FALSE,"gadha",TRUE,FALSE,0,,,,,"13;71;65;72;8;71;8;68;72;65","
;G;A;H;;G;;D;H;A","1622469472922;1622469474808;1622469474913;1622469475118;1622469476214;1622469476487;1622469477201;1622469477980;1622469478124;1622469478213","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469497033,14228,,246105,FALSE,"guddi",TRUE,TRUE,0,,,,,"13;68;85;8;8;71;85;68;68;73","
;D;U;;;G;U;D;D;I","1622469497156;1622469507849;1622469508190;1622469509350;1622469509661;1622469510201;1622469510402;1622469510556;1622469510678;1622469510887","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469512587,4458,81,251889,FALSE,"kamba",FALSE,FALSE,0,,,,,"13;75;65;77;66;65","
;K;A;M;B;A","1622469512668;1622469514400;1622469514979;1622469516387;1622469516579;1622469516781","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469518213,2972,2011,256029,FALSE,"kadra",FALSE,FALSE,0,,,,,"75;65;68;82;65","K;A;D;R;A","1622469520224;1622469520422;1622469520581;1622469520711;1622469520797","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469522429,5707,92,262980,FALSE,"fogori",TRUE,FALSE,0,,,,,"13;70;79;71;79;84;73;8;8;84;73;8;8;82;73","
;F;O;G;O;T;I;;;T;I;;;R;I","1622469522521;1622469524818;1622469524942;1622469525170;1622469525293;1622469525546;1622469525762;1622469526140;1622469526275;1622469526447;1622469526575;1622469527171;1622469527316;1622469527737;1622469527839","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469529529,3151,125,267524,FALSE,"fogoti",FALSE,FALSE,0,,,,,"13;70;79;71;79;84;73","
;F;O;G;O;T;I","1622469529654;1622469531002;1622469531140;1622469531761;1622469531931;1622469532107;1622469532264","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469546152,3774,89,284770,FALSE,"badha",FALSE,FALSE,0,,,,,"13;66;65;68;72;65","
;B;A;D;H;A","1622469546241;1622469548394;1622469548908;1622469549122;1622469549294;1622469549400","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469551321,2468,103,288633,FALSE,"badha",FALSE,FALSE,0,,,,,"13;66;65;68;72;65","
;B;A;D;H;A","1622469551424;1622469552607;1622469552695;1622469553012;1622469553137;1622469553222","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469555832,5322,105,295998,FALSE,"fuguri",TRUE,FALSE,0,,,,,"13;70;85;71;82;73;8;8;85;82;73","
;F;U;G;R;I;;;U;R;I","1622469555937;1622469557837;1622469558062;1622469558449;1622469559160;1622469559359;1622469559932;1622469560078;1622469560602;1622469560752;1622469560935","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469562168,2939,1599,299951,FALSE,"godoro",FALSE,FALSE,0,,,,,"71;79;68;79;82;79","G;O;D;O;R;O","1622469563767;1622469563995;1622469564206;1622469564449;1622469564481;1622469564762","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469568311,3469,87,306624,FALSE,"godoro",FALSE,FALSE,0,,,,,"13;71;79;68;79;82;79","
;G;O;D;O;R;O","1622469568398;1622469569793;1622469569981;1622469570428;1622469570583;1622469570689;1622469570937","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"mattress","godoro",,,,61039,1622469574628,2657,1333,312129,TRUE,"godoro",FALSE,FALSE,0,,,,,"71;79;68;79;82;79","G;O;D;O;R;O","1622469575961;1622469576094;1622469576477;1622469576638;1622469576721;1622469576870","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469578294,3863,2925,317001,FALSE,"ladha",FALSE,FALSE,0,,,,,"76;65;68;72;65","L;A;D;H;A","1622469581219;1622469581320;1622469581545;1622469581680;1622469581826","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"flavor","ladha",,,,61035,1622469586084,2965,2038,323893,TRUE,"ladha",FALSE,FALSE,0,,,,,"76;65;68;72;65","L;A;D;H;A","1622469588122;1622469588316;1622469588507;1622469588689;1622469588781","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469590058,11443,3053,336345,FALSE,"fori",TRUE,FALSE,0,,,,,"70;85;71;85;82;73;8;8;8;8;8;79;82;73","F;U;G;U;R;I;;;;;;O;R;I","1622469593111;1622469593316;1622469594129;1622469594295;1622469594407;1622469594579;1622469596048;1622469596205;1622469596347;1622469596498;1622469596698;1622469599255;1622469599463;1622469601256","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"broom","fagio",,,,61040,1622469602766,2088,101,339698,TRUE,"fagio",FALSE,FALSE,0,,,,,"13;70;65;71;73;79","
;F;A;G;I;O","1622469602867;1622469603687;1622469603850;1622469604033;1622469604365;1622469604553","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"corn","nafaka",,,,61046,1622469605860,3208,2736,343912,FALSE,"jam",FALSE,FALSE,0,,,,,"74;65;77","J;A;M","1622469608596;1622469608690;1622469608848","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"egg","yai",,,,61037,1622469610582,2222,116,347648,FALSE,"",FALSE,FALSE,0,,,,,"13","
","1622469610698","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"story","hadithi",,,,61043,1622469615034,2282,1196,352160,FALSE,"jadk",FALSE,FALSE,0,,,,,"74;65;68;75","J;A;D;K","1622469616230;1622469616554;1622469616753;1622469616855","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"corn","nafaka",,,,61046,1622469620142,8155,82,363141,FALSE,"jay",FALSE,FALSE,0,,,,,"13;74;65;89","
;J;A;Y","1622469620224;1622469627329;1622469627419;1622469627544","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"egg","yai",,,,61037,1622469629926,1564,92,366334,FALSE,"jay",FALSE,FALSE,0,,,,,"13;74;65;89","
;J;A;Y","1622469630018;1622469630839;1622469630895;1622469631047","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"story","hadithi",,,,61043,1622469633418,1934,105,370196,FALSE,"kak",FALSE,FALSE,0,,,,,"13;75;65;75","
;K;A;K","1622469633523;1622469634824;1622469634991;1622469635130","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"corn","nafaka",,,,61046,1622469638523,4735,84,378102,FALSE,"yafaka",FALSE,FALSE,0,,,,,"13;89;65;70;65;75;65","
;Y;A;F;A;K;A","1622469638607;1622469641565;1622469641697;1622469642350;1622469642645;1622469642767;1622469642856","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"egg","yai",,,,61037,1622469645054,2234,1375,382132,TRUE,"yai",FALSE,FALSE,0,,,,,"89;65;73","Y;A;I","1622469646429;1622469646515;1622469646697","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"story","hadithi",,,,61043,1622469648295,1962,852,385101,FALSE,"nafaka",FALSE,FALSE,0,,,,,"78;65;70;65;75;65","N;A;F;A;K;A","1622469649147;1622469649295;1622469649539;1622469649684;1622469649809;1622469649906","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"corn","nafaka",,,,61046,1622469651243,2276,129,388363,TRUE,"nafaka",FALSE,FALSE,0,,,,,"13;78;65;70;65;75;65","
;N;A;F;A;K;A","1622469651372;1622469652060;1622469652205;1622469652589;1622469652771;1622469652887;1622469652972","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"story","hadithi",,,,61043,1622469654529,1753,998,391126,FALSE,"jaks",FALSE,FALSE,0,,,,,"74;65;75;83","J;A;K;S","1622469655527;1622469655651;1622469655808;1622469656135","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"story","hadithi",,,,61043,1622469657897,2126,823,394867,TRUE,"hadithi",FALSE,FALSE,0,,,,,"72;65;68;73;84;72;73","H;A;D;I;T;H;I","1622469658720;1622469658830;1622469659041;1622469659196;1622469659443;1622469659584;1622469659749","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"leech","ruba",,,,61034,1622469661031,2500,2500,398375,FALSE,"",FALSE,FALSE,0,,,,,"","","","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"dog","mbwa",,,,61027,1622469664693,2282,1684,401819,FALSE,"ruba",FALSE,FALSE,0,,,,,"82;85;66;65","R;U;B;A","1622469666377;1622469666520;1622469666695;1622469666842","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"knee","goti",,,,61031,1622469669807,2162,117,406813,FALSE,"ruba",FALSE,FALSE,0,,,,,"13;82;85;66;65","
;R;U;B;A","1622469669924;1622469671207;1622469671346;1622469671547;1622469671676","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"leech","ruba",,,,61034,1622469673048,1472,92,409364,TRUE,"ruba",FALSE,FALSE,0,,,,,"13;82;85;66;65","
;R;U;B;A","1622469673140;1622469673865;1622469674038;1622469674221;1622469674374","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"dog","mbwa",,,,61027,1622469675526,1969,596,412339,TRUE,"mbwa",FALSE,FALSE,0,,,,,"77;66;87;65","M;B;W;A","1622469676122;1622469676484;1622469676978;1622469677179","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"knee","goti",,,,61031,1622469678502,2146,1682,415492,FALSE,"js",FALSE,FALSE,0,,,,,"74;83","J;S","1622469680184;1622469680329","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"knee","goti",,,,61031,1622469681646,1747,939,418237,TRUE,"goti",FALSE,FALSE,0,,,,,"71;79;84;73","G;O;T;I","1622469682585;1622469682720;1622469682978;1622469683106","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"cloud","wingu",,,,61029,1622469684402,2487,1551,421733,FALSE,"wolk",FALSE,FALSE,0,,,,,"87;79;76;75","W;O;L;K","1622469685953;1622469686127;1622469686287;1622469686432","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"blame","lawama",,,,61045,1622469688309,1951,100,425104,FALSE,"wingu",FALSE,FALSE,0,,,,,"13;87;73;78;71;85","
;W;I;N;G;U","1622469688409;1622469689211;1622469689379;1622469689582;1622469689841;1622469690042","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"pearl","lulu",,,,61028,1622469692303,2235,90,429382,FALSE,"wingu",FALSE,FALSE,0,,,,,"13;87;73;78;71;85","
;W;I;N;G;U","1622469692393;1622469693341;1622469693670;1622469693858;1622469694093;1622469694273","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"cloud","wingu",,,,61029,1622469697296,1875,81,434015,TRUE,"wingu",FALSE,FALSE,0,,,,,"13;87;73;78;71;85","
;W;I;N;G;U","1622469697377;1622469698085;1622469698254;1622469698492;1622469698758;1622469698930","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"blame","lawama",,,,61045,1622469700180,4317,651,439341,FALSE,"lamawa",TRUE,FALSE,0,,,,,"76;65;77;87;65;8;8;87;65;8;8;65;87;65","L;A;M;W;A;;;W;A;;;A;W;A","1622469700831;1622469700963;1622469701124;1622469701354;1622469701536;1622469702228;1622469702358;1622469702531;1622469702730;1622469703192;1622469703330;1622469703465;1622469703636;1622469703817","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"pearl","lulu",,,,61028,1622469706926,1711,81,443481,TRUE,"lulu",FALSE,FALSE,0,,,,,"13;76;85;76;85","
;L;U;L;U","1622469707007;1622469707880;1622469707940;1622469708089;1622469708167","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"blame","lawama",,,,61045,1622469709649,1869,745,446362,FALSE,"lamawa",FALSE,FALSE,0,,,,,"76;65;77;65;87;65","L;A;M;A;W;A","1622469710394;1622469710517;1622469710730;1622469710885;1622469711075;1622469711241","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"blame","lawama",,,,61045,1622469712908,1866,725,449618,TRUE,"lawama",FALSE,FALSE,0,,,,,"76;65;87;65;77;65","L;A;W;A;M;A","1622469713633;1622469713968;1622469714143;1622469714332;1622469714452;1622469714545","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"tailor","mshoni",,,,61033,1622469715785,7632,6333,458261,FALSE,"eja",FALSE,FALSE,0,,,,,"69;74;65","E;J;A","1622469722118;1622469722881;1622469722982","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"stump","gutu",,,,61042,1622469765804,2324,1021,502972,FALSE,"mshoni",FALSE,FALSE,0,,,,,"77;83;72;79;78;73","M;S;H;O;N;I","1622469766825;1622469766966;1622469767188;1622469767424;1622469767593;1622469767732","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"tailor","mshoni",,,,61033,1622469769974,3815,82,508633,FALSE,"mshonu",FALSE,FALSE,0,,,,,"13;77;83;72;79;78;85","
;M;S;H;O;N;U","1622469770056;1622469771096;1622469771497;1622469771832;1622469772643;1622469772816;1622469772954","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"stump","gutu",,,,61042,1622469777425,3341,99,515610,FALSE,"mshoni",FALSE,FALSE,0,,,,,"13;77;83;72;79;78;73","
;M;S;H;O;N;I","1622469777524;1622469778660;1622469779142;1622469779314;1622469779652;1622469780092;1622469780454","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"tailor","mshoni",,,,61033,1622469782077,4421,96,521342,FALSE,"mshuni",FALSE,FALSE,0,,,,,"13;77;83;72;85;78;73","
;M;S;H;U;N;I","1622469782173;1622469783431;1622469784077;1622469784670;1622469784984;1622469785759;1622469786003","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
"English-Swahili B",1267,60168,"stump","gutu",,,,61042,1622469789315,1933,108,526092,FALSE,"tutu",FALSE,FALSE,0,,,,,"13;84;85;84;85","
;T;U;T;U","1622469789423;1622469790203;1622469790503;1622469790696;1622469790799","7f27ee3c-2e6b-42a4-aff1-ba2492008ab6",FALSE
